symbol,offset_bin_start_ms,offset_bin_end_ms,trades,share_of_all_trades
SUPRAUSDT,610,620,20,0.0002302794441
SUPRAUSDT,620,630,13,0.0001496816387
SUPRAUSDT,630,640,11,0.0001266536943
SUPRAUSDT,640,650,9,0.0001036257498
SUPRAUSDT,650,660,12,0.0001381676665
SUPRAUSDT,660,670,11,0.0001266536943
SUPRAUSDT,670,680,12,0.0001381676665
SUPRAUSDT,680,690,11,0.0001266536943
SUPRAUSDT,690,700,31,0.0003569331384
SUPRAUSDT,700,710,0,0
SUPRAUSDT,710,720,0,0
SUPRAUSDT,720,730,1,1.151397221e-05
SUPRAUSDT,730,740,5,5.756986103e-05
SUPRAUSDT,740,750,0,0
SUPRAUSDT,750,760,0,0
SUPRAUSDT,760,770,1,1.151397221e-05
SUPRAUSDT,770,780,1,1.151397221e-05
SUPRAUSDT,780,790,1,1.151397221e-05
SUPRAUSDT,790,800,0,0
CITYUSDT,-500,-490,0,0
CITYUSDT,-490,-480,1,1.258193988e-05
CITYUSDT,-480,-470,0,0
CITYUSDT,-470,-460,0,0
CITYUSDT,-460,-450,2,2.516387977e-05
CITYUSDT,-450,-440,1,1.258193988e-05
CITYUSDT,-440,-430,17,0.000213892978
CITYUSDT,-430,-420,0,0
CITYUSDT,-420,-410,1,1.258193988e-05
CITYUSDT,-410,-400,0,0
CITYUSDT,-400,-390,0,0
CITYUSDT,-390,-380,0,0
CITYUSDT,-380,-370,0,0
CITYUSDT,-370,-360,0,0
CITYUSDT,-360,-350,1,1.258193988e-05
CITYUSDT,-350,-340,4,5.032775953e-05
CITYUSDT,-340,-330,11,0.0001384013387
CITYUSDT,-330,-320,0,0
CITYUSDT,-320,-310,2,2.516387977e-05
CITYUSDT,-310,-300,0,0
CITYUSDT,-300,-290,1,1.258193988e-05
CITYUSDT,-290,-280,0,0
CITYUSDT,-280,-270,0,0
CITYUSDT,-270,-260,1,1.258193988e-05
CITYUSDT,-260,-250,2,2.516387977e-05
CITYUSDT,-250,-240,1,1.258193988e-05
CITYUSDT,-240,-230,7,8.807357918e-05
CITYUSDT,-230,-220,2,2.516387977e-05
CITYUSDT,-220,-210,1,1.258193988e-05
CITYUSDT,-210,-200,1,1.258193988e-05
CITYUSDT,-200,-190,0,0
CITYUSDT,-190,-180,0,0
CITYUSDT,-180,-170,7,8.807357918e-05
CITYUSDT,-170,-160,2,2.516387977e-05
CITYUSDT,-160,-150,6,7.54916393e-05
CITYUSDT,-150,-140,0,0
CITYUSDT,-140,-130,0,0
CITYUSDT,-130,-120,3,3.774581965e-05
CITYUSDT,-120,-110,4,5.032775953e-05
CITYUSDT,-110,-100,0,0
CITYUSDT,-100,-90,0,0
CITYUSDT,-90,-80,0,0
CITYUSDT,-80,-70,0,0
CITYUSDT,-70,-60,1,1.258193988e-05
CITYUSDT,-60,-50,4,5.032775953e-05
CITYUSDT,-50,-40,0,0
CITYUSDT,-40,-30,1,1.258193988e-05
CITYUSDT,-30,-20,7,8.807357918e-05
CITYUSDT,-20,-10,8,0.0001006555191
CITYUSDT,-10,0,1,1.258193988e-05
CITYUSDT,0,10,2,2.516387977e-05
CITYUSDT,10,20,0,0
CITYUSDT,20,30,0,0
CITYUSDT,30,40,0,0
CITYUSDT,40,50,1,1.258193988e-05
CITYUSDT,50,60,3,3.774581965e-05
CITYUSDT,60,70,4,5.032775953e-05
CITYUSDT,70,80,6,7.54916393e-05
CITYUSDT,80,90,9,0.000113237459
CITYUSDT,90,100,1,1.258193988e-05
CITYUSDT,100,110,0,0
CITYUSDT,110,120,8,0.0001006555191
CITYUSDT,120,130,0,0
CITYUSDT,130,140,0,0
CITYUSDT,140,150,7,8.807357918e-05
CITYUSDT,150,160,0,0
CITYUSDT,160,170,0,0
CITYUSDT,170,180,0,0
CITYUSDT,180,190,1,1.258193988e-05
CITYUSDT,190,200,1,1.258193988e-05
CITYUSDT,200,210,0,0
CITYUSDT,210,220,2,2.516387977e-05
CITYUSDT,220,230,1,1.258193988e-05
CITYUSDT,230,240,11,0.0001384013387
CITYUSDT,240,250,1,1.258193988e-05
CITYUSDT,250,260,4,5.032775953e-05
CITYUSDT,260,270,1,1.258193988e-05
CITYUSDT,270,280,5,6.290969942e-05
CITYUSDT,280,290,0,0
CITYUSDT,290,300,0,0
CITYUSDT,300,310,0,0
CITYUSDT,310,320,0,0
CITYUSDT,320,330,30,0.0003774581965
CITYUSDT,330,340,4,5.032775953e-05
CITYUSDT,340,350,11,0.0001384013387
CITYUSDT,350,360,10,0.0001258193988
CITYUSDT,360,370,3,3.774581965e-05
CITYUSDT,370,380,2,2.516387977e-05
CITYUSDT,380,390,0,0
CITYUSDT,390,400,2,2.516387977e-05
CITYUSDT,400,410,3,3.774581965e-05
CITYUSDT,410,420,1,1.258193988e-05
CITYUSDT,420,430,4,5.032775953e-05
CITYUSDT,430,440,12,0.0001509832786
CITYUSDT,440,450,2,2.516387977e-05
CITYUSDT,450,460,4,5.032775953e-05
CITYUSDT,460,470,2,2.516387977e-05
CITYUSDT,470,480,2,2.516387977e-05
CITYUSDT,480,490,3,3.774581965e-05
CITYUSDT,490,500,0,0
CITYUSDT,500,510,0,0
CITYUSDT,510,520,0,0
CITYUSDT,520,530,2,2.516387977e-05
CITYUSDT,530,540,11,0.0001384013387
CITYUSDT,540,550,6,7.54916393e-05
CITYUSDT,550,560,0,0
CITYUSDT,560,570,0,0
CITYUSDT,570,580,1,1.258193988e-05
CITYUSDT,580,590,2,2.516387977e-05
CITYUSDT,590,600,0,0
CITYUSDT,600,610,8,0.0001006555191
CITYUSDT,610,620,8,0.0001006555191
CITYUSDT,620,630,1,1.258193988e-05
CITYUSDT,630,640,0,0
CITYUSDT,640,650,0,0
CITYUSDT,650,660,0,0
CITYUSDT,660,670,1,1.258193988e-05
CITYUSDT,670,680,0,0
CITYUSDT,680,690,2,2.516387977e-05
CITYUSDT,690,700,3,3.774581965e-05
CITYUSDT,700,710,0,0
CITYUSDT,710,720,0,0
CITYUSDT,720,730,2,2.516387977e-05
CITYUSDT,730,740,5,6.290969942e-05
CITYUSDT,740,750,1,1.258193988e-05
CITYUSDT,750,760,6,7.54916393e-05
CITYUSDT,760,770,24,0.0003019665572
CITYUSDT,770,780,2,2.516387977e-05
CITYUSDT,780,790,1,1.258193988e-05
CITYUSDT,790,800,1,1.258193988e-05
PYBOBOUSDT,-500,-490,2,2.996613826e-05
PYBOBOUSDT,-490,-480,1,1.498306913e-05
PYBOBOUSDT,-480,-470,1,1.498306913e-05
PYBOBOUSDT,-470,-460,6,8.989841479e-05
PYBOBOUSDT,-460,-450,1,1.498306913e-05
PYBOBOUSDT,-450,-440,2,2.996613826e-05
PYBOBOUSDT,-440,-430,2,2.996613826e-05
PYBOBOUSDT,-430,-420,1,1.498306913e-05
PYBOBOUSDT,-420,-410,1,1.498306913e-05
PYBOBOUSDT,-410,-400,4,5.993227653e-05
PYBOBOUSDT,-400,-390,2,2.996613826e-05
PYBOBOUSDT,-390,-380,2,2.996613826e-05
PYBOBOUSDT,-380,-370,1,1.498306913e-05
PYBOBOUSDT,-370,-360,2,2.996613826e-05
PYBOBOUSDT,-360,-350,3,4.49492074e-05
PYBOBOUSDT,-350,-340,1,1.498306913e-05
PYBOBOUSDT,-340,-330,1,1.498306913e-05
PYBOBOUSDT,-330,-320,5,7.491534566e-05
PYBOBOUSDT,-320,-310,2,2.996613826e-05
PYBOBOUSDT,-310,-300,4,5.993227653e-05
PYBOBOUSDT,-300,-290,0,0
PYBOBOUSDT,-290,-280,2,2.996613826e-05
PYBOBOUSDT,-280,-270,1,1.498306913e-05
PYBOBOUSDT,-270,-260,1,1.498306913e-05
PYBOBOUSDT,-260,-250,3,4.49492074e-05
PYBOBOUSDT,-250,-240,4,5.993227653e-05
PYBOBOUSDT,-240,-230,1,1.498306913e-05
PYBOBOUSDT,-230,-220,2,2.996613826e-05
PYBOBOUSDT,-220,-210,5,7.491534566e-05
PYBOBOUSDT,-210,-200,0,0
PYBOBOUSDT,-200,-190,4,5.993227653e-05
PYBOBOUSDT,-190,-180,1,1.498306913e-05
PYBOBOUSDT,-180,-170,1,1.498306913e-05
PYBOBOUSDT,-170,-160,3,4.49492074e-05
PYBOBOUSDT,-160,-150,3,4.49492074e-05
PYBOBOUSDT,-150,-140,3,4.49492074e-05
PYBOBOUSDT,-140,-130,1,1.498306913e-05
