phase_seconds_after_five_minute_boundary,possible_anchors,wide_window_hits,wide_window_hit_share,core_populated_boundaries,core_both_legs_boundaries,opposite_taker_side_boundaries,balanced_50_boundaries,balanced_70_boundaries,balanced_80_boundaries,balanced_90_boundaries,balanced_95_boundaries,balanced_99_boundaries,wide_window_overlaps_target_boundary
89,8640,66,0.007638888889,14,1,0,0,0,0,0,0,0,false
90,8640,54,0.00625,9,0,0,0,0,0,0,0,0,false
91,8640,59,0.006828703704,10,0,0,0,0,0,0,0,0,false
92,8640,68,0.00787037037,14,0,0,0,0,0,0,0,0,false
93,8640,66,0.007638888889,16,1,0,0,0,0,0,0,0,false
94,8640,55,0.006365740741,11,1,0,0,0,0,0,0,0,false
95,8640,63,0.007291666667,13,1,0,0,0,0,0,0,0,false
96,8640,69,0.007986111111,10,1,1,1,1,1,1,1,1,false
97,8640,59,0.006828703704,15,0,0,0,0,0,0,0,0,false
98,8640,73,0.008449074074,20,1,0,0,0,0,0,0,0,false
99,8640,73,0.008449074074,15,0,0,0,0,0,0,0,0,false
100,8640,71,0.008217592593,10,0,0,0,0,0,0,0,0,false
101,8640,68,0.00787037037,16,1,0,0,0,0,0,0,0,false
102,8640,63,0.007291666667,12,2,0,0,0,0,0,0,0,false
103,8640,65,0.007523148148,17,0,0,0,0,0,0,0,0,false
104,8640,71,0.008217592593,16,0,0,0,0,0,0,0,0,false
105,8640,61,0.007060185185,16,0,0,0,0,0,0,0,0,false
106,8640,72,0.008333333333,13,1,0,0,0,0,0,0,0,false
107,8640,63,0.007291666667,15,0,0,0,0,0,0,0,0,false
108,8640,57,0.006597222222,10,0,0,0,0,0,0,0,0,false
109,8640,71,0.008217592593,14,0,0,0,0,0,0,0,0,false
110,8640,76,0.008796296296,23,1,1,1,1,1,1,1,1,false
111,8640,66,0.007638888889,16,1,0,0,0,0,0,0,0,false
112,8640,65,0.007523148148,13,0,0,0,0,0,0,0,0,false
113,8640,64,0.007407407407,14,0,0,0,0,0,0,0,0,false
114,8640,66,0.007638888889,13,0,0,0,0,0,0,0,0,false
115,8640,57,0.006597222222,14,0,0,0,0,0,0,0,0,false
116,8640,72,0.008333333333,14,1,1,0,0,0,0,0,0,false
117,8640,66,0.007638888889,20,0,0,0,0,0,0,0,0,false
118,8640,60,0.006944444444,17,1,0,0,0,0,0,0,0,false
119,8640,62,0.007175925926,14,0,0,0,0,0,0,0,0,false
120,8640,41,0.00474537037,16,0,0,0,0,0,0,0,0,false
121,8640,68,0.00787037037,14,0,0,0,0,0,0,0,0,false
122,8640,435,0.05034722222,20,0,0,0,0,0,0,0,0,false
123,8640,97,0.01122685185,30,2,0,0,0,0,0,0,0,false
124,8640,56,0.006481481481,17,1,1,0,0,0,0,0,0,false
125,8640,50,0.005787037037,14,0,0,0,0,0,0,0,0,false
126,8640,68,0.00787037037,18,0,0,0,0,0,0,0,0,false
127,8640,61,0.007060185185,17,0,0,0,0,0,0,0,0,false
128,8640,82,0.009490740741,13,0,0,0,0,0,0,0,0,false
129,8640,57,0.006597222222,17,0,0,0,0,0,0,0,0,false
130,8640,71,0.008217592593,14,2,0,0,0,0,0,0,0,false
131,8640,70,0.008101851852,14,1,1,0,0,0,0,0,0,false
132,8640,54,0.00625,6,0,0,0,0,0,0,0,0,false
133,8640,63,0.007291666667,12,0,0,0,0,0,0,0,0,false
134,8640,55,0.006365740741,15,0,0,0,0,0,0,0,0,false
135,8640,60,0.006944444444,9,0,0,0,0,0,0,0,0,false
136,8640,71,0.008217592593,11,0,0,0,0,0,0,0,0,false
137,8640,60,0.006944444444,11,0,0,0,0,0,0,0,0,false
138,8640,51,0.005902777778,13,0,0,0,0,0,0,0,0,false
139,8640,69,0.007986111111,10,1,0,0,0,0,0,0,0,false
140,8640,75,0.008680555556,18,0,0,0,0,0,0,0,0,false
141,8640,71,0.008217592593,14,1,0,0,0,0,0,0,0,false
142,8640,66,0.007638888889,9,0,0,0,0,0,0,0,0,false
143,8640,62,0.007175925926,10,1,0,0,0,0,0,0,0,false
144,8640,47,0.005439814815,7,0,0,0,0,0,0,0,0,false
145,8640,68,0.00787037037,13,0,0,0,0,0,0,0,0,false
146,8640,69,0.007986111111,14,0,0,0,0,0,0,0,0,false
147,8640,62,0.007175925926,8,1,0,0,0,0,0,0,0,false
148,8640,77,0.008912037037,11,1,0,0,0,0,0,0,0,false
149,8640,61,0.007060185185,12,0,0,0,0,0,0,0,0,false
150,8640,71,0.008217592593,13,0,0,0,0,0,0,0,0,false
151,8640,71,0.008217592593,21,2,0,0,0,0,0,0,0,false
152,8640,68,0.00787037037,13,1,0,0,0,0,0,0,0,false
