symbol,date,url,sha256,compressed_bytes,rows,first_id,last_id,ids_unique,timestamps_nondecreasing,timestamp_dates_match_utc
SUPRAUSDT,2026-07-10,https://public.bybit.com/spot/SUPRAUSDT/SUPRAUSDT_2026-07-10.csv.gz,6948e7cf730b868bb48b115ded071b59bf124b59fad7bf01b98d271a7b4c8f52,52874,5720,1,5720,true,true,true
SUPRAUSDT,2026-07-11,https://public.bybit.com/spot/SUPRAUSDT/SUPRAUSDT_2026-07-11.csv.gz,72d0f7aa6006d02062db844709b83e6bbce9eeb6f60e75b38e64bd29b4111004,19070,1939,1,1939,true,true,true
SUPRAUSDT,2026-07-12,https://public.bybit.com/spot/SUPRAUSDT/SUPRAUSDT_2026-07-12.csv.gz,ce2ac6582069cc3431bff2b75dc2618ea0fe9451c0dbbd118d504d845f3bfb2c,13794,1342,1,1342,true,true,true
SUPRAUSDT,2026-07-13,https://public.bybit.com/spot/SUPRAUSDT/SUPRAUSDT_2026-07-13.csv.gz,d953e93d58fc2dd4a4d6b453120e055f8a724a46403c6f18025b09aca7527225,17994,1833,1,1833,true,true,true
SUPRAUSDT,2026-07-14,https://public.bybit.com/spot/SUPRAUSDT/SUPRAUSDT_2026-07-14.csv.gz,8c46aac08a32ab6373f8e1cadb00fef609664fef96ecf67a3a74779afab5da58,20910,2134,1,2134,true,true,true
CITYUSDT,2026-06-15,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-15.csv.gz,420e39ee72df9481403ab7e5b716e61c5087190a0817900039eb5a42801f7e7d,12084,1331,1,1331,true,true,true
CITYUSDT,2026-06-16,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-16.csv.gz,09bd346ccfb2cde87f08aa0675feff6dd90bf9b8f11808bf50a2bba884ab60cb,11240,1319,1,1319,true,true,true
CITYUSDT,2026-06-17,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-17.csv.gz,26fd2b1ebca3b7777d946d657caaa269c857b72381ae9537da6e055aec9a4d29,13630,1566,1,1566,true,true,true
CITYUSDT,2026-06-18,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-18.csv.gz,2e190986e3ad698a556b75cb428bd4874aa37380785cb13219f999fcb4da1a6d,12750,1499,1,1499,true,true,true
CITYUSDT,2026-06-19,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-19.csv.gz,65cf0cbdf43d8e40aec2b887f585faaf555016c5a1bde03bd09c60c25bbc073d,12970,1509,1,1509,true,true,true
CITYUSDT,2026-06-20,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-20.csv.gz,98c9a3bf592139ad9021aa56c70fa1bdd9ff241bd6bdeec90d5137d18d94566f,12291,1473,1,1473,true,true,true
CITYUSDT,2026-06-21,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-21.csv.gz,188c3af28447a31c4a9aca720d981b93874966bd2b630608ee184f76608ea0ac,18357,2166,1,2166,true,true,true
CITYUSDT,2026-06-22,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-22.csv.gz,bc5d0c4f692572d020d5f4af6e784c01938ad29e667f5ef0cec5277ea4673ac0,8582,998,1,998,true,true,true
CITYUSDT,2026-06-23,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-23.csv.gz,e06d4395f999f938fb4c8dde3e28166ceec4c0e038b6e7185ca5d5963a00ec79,9415,1105,1,1105,true,true,true
CITYUSDT,2026-06-24,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-24.csv.gz,b012d2de19cd660240ccc1b3aaaceebcee8385615f72b5d9fe9b4c18f06fa5dd,20702,2554,1,2554,true,true,true
CITYUSDT,2026-06-25,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-25.csv.gz,7323812651828a7fa82868aa6994c970845a5f00d2d055695967cf8712a32793,17499,2076,1,2076,true,true,true
CITYUSDT,2026-06-26,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-26.csv.gz,bf6748cd5bfc12202a73da59b7ece9397a0741562bf81226e8906ed216c28a1b,113128,13654,1,13654,true,true,true
CITYUSDT,2026-06-27,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-27.csv.gz,e3edc2f536bb5d3b0607279cb7322bc84925bec277e3553831979a0752f130db,91386,10959,1,10959,true,true,true
CITYUSDT,2026-06-28,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-28.csv.gz,68b7e7f0ecec5d0f6b27f2d1095df34fac498bcb720cfe29c369e80578312bbb,18139,2075,1,2075,true,true,true
CITYUSDT,2026-06-29,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-29.csv.gz,a157da5ff0b10f040b0cdf977ff58dbb41813adc4eba91c209b161198ef8ec62,21379,2544,1,2544,true,true,true
CITYUSDT,2026-06-30,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-06-30.csv.gz,006805af00e85e7944afe6582f99609f23f8997639bc80bc779bf0177e2fa28d,19246,2207,1,2207,true,true,true
CITYUSDT,2026-07-01,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-07-01.csv.gz,1876f5b8e9fd00ee43b5681201a2163c4fe4e368a43dc91a4ff37f852f8740c5,18157,2156,1,2156,true,true,true
CITYUSDT,2026-07-02,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-07-02.csv.gz,7eadea8e5ff1e91965d103a269298143642a4953bcc0f3f0411c4ba195dc763e,11265,1356,1,1356,true,true,true
